customer_message,agent_response,intent,decision,predicted
"@AmazonHelp Hablo para que me hagan los reembolsos, me llega el correo de que ya quedó y en unas horas diciéndome que no se pudo hacer efectivo pues necesitan más información, y se vuelve a repetir el ciclo.",@140383 Sentimos los inconvenientes con esta situación. ¿Podrías indicarnos si los productos son vendidos directamente por Amazon o si han sido vendidos por un vendedor externo?  ^PC,refund_return,auto_handle,service_complaint
@115851 @115821 Amanda in your leadership team in your Oregon call center cost you a customer. Everything is canceled. Great Job Amazon!,"@147716 Eric, I'm sorry for the experience you've had and we want to help! Would you please give us the details of what happened? Also, please refrain from providing personal or account details. ^MW",order_issue,escalate,service_complaint
@115821 one question. If i buy Amazon Fire HD Tablet with Special Offers I can in the future pay 10 more GBP to remove ads? #Amazon #FireHD,@411802 You'll have the option to remove Special Offers for a 10GBP fee whenever you'd like! More info here: https://t.co/muPVkgX9JY ^WT,service_complaint,auto_handle,payment_issue
@AmazonHelp (ಠ_ಠ) Didnt realize your couriers needed reminders about basic fire safety.,@808782 Please contact us here via phone or chat so we can look into this with you: https://t.co/dNXwBZPiM6 ^GG,delivery_issue,escalate,service_complaint
"@115850 Need help, with the status on two refunds. Been a month already since I sent the shipment back. Thanks.","@495001 Did you happen to report this to our support team? If not, do report it here: https://t.co/vlvfJr4nN9 (2/2) ^GD",refund_return,escalate,delivery_issue
@AmazonHelp But can not understand the cause of delay,@393025 Kindly revert to the correspondence which you have received from us and we will assist you further. ^SM,service_complaint,auto_handle,delivery_issue
@AmazonHelp ordered a JBL CHARGE3 on Black Friday. Unplugged it the first time it does this help!  @164902 maybe you can help too?  I don’t want a return just a new cord. https://t.co/UbEAakQCcI,@547100 So sorry for the trouble! We're here to help! Have you had the chance to look into available options here: https://t.co/eVeMpO7mHH? ^VB,payment_issue,escalate,refund_return
"@AmazonHelp @115850 Can I know why the pickup is cancelled??
I am done with this bullshit despite you guys apologizing for yesterday's behavior.
Call me. https://t.co/l6JqgynyH0","@120780 As this is a social media platform, we can't view your order details. Please share your (1/2)^HR",order_issue,escalate,service_complaint
"So if you lost my #kindle how exactly was it returned @115821, Also why do you think my home is a business. Also, why did you say I was closed because today is a holiday? Do I owe myself holiday pay? #Curious https://t.co/ig2otyw5Lw",@680444 I'm sorry to see it was returned. We'd be happy to look into this with you here: https://t.co/EKXRLsnxJu ^AF,refund_return,escalate,payment_issue
@115850 Surprised that @118702 @122951 delivers every product in 620024 but you don't,"@313935 We certainly don't want to let down our customers, I'll ensure to pass your feedback internally ^SM (1/2)",delivery_issue,escalate,product_issue
You pay for an Amazon Prime membership and this is where your packages are left whilst you’re at work 😤 #NotImpressed @115830 https://t.co/UEvbve6G0I,@455397 I'm sorry to see the way your package was delivered! Will you confirm the carrier listed here: https://t.co/aaDyEz1VgE ^HC,prime_membership,auto_handle,payment_issue
@115850 @AmazonHelp I had ordered OnePlus5 on 28th June ‘17. I still haven’t receivedcashback of Rs. 1500 (SBI card offer). Please help!!! https://t.co/227y7N6DdC,@293719 I'm sorry for the delay. Please report this to our support team here: https://t.co/2t6DQoUmNZ for further assistance. ^RW,order_issue,escalate,payment_issue
"@AmazonHelp Hi. Sorry late getting back, I had an email on 22/07/17 stating that auto renew was turned off and no further payments would be taken.",@314332 We'd like to take a closer look at the charges and your available options. Please contact us here: https://t.co/JzP7hlA23B ^RA,payment_issue,escalate,delivery_issue
"@AmazonHelp I have placed 3 orders none of them have delivered yet. I had to cancel it after waiting for a months
See Order#__credit_card__",@441304 Sorry to know about this. Please reach us from here: https://t.co/rS49hgaADF we'll assist you. (1/2) ^SV,payment_issue,escalate,delivery_issue
@AmazonHelp It’s with https://t.co/qgEGP0rVqi. I have been charged $10.99 for a U.S subscription for amazon prime and I don’t have prime.,@271115 Please contact us directly so we can look into this with you: https://t.co/hApLpMlfHN ^SB,prime_membership,escalate,payment_issue
@AmazonHelp A claim and escalated. Then the same bs email about how more info is needed and the seller hasn’t received the item. Horrible customer serv.,@129194 I'm sorry for the A-to-z issues. I'd like our team to look into this. Please send us order info here: https://t.co/Z3sF5pyYG5 ^BE,delivery_issue,escalate,product_issue
@AmazonHelp Livraison reportée au 2 novembre.. Heureusement que j'en avais besoin avant et que j'ai pris celui là pour le fait qu'il arrivait avant ! ;),@460284 La solution adaptée vous sera proposée d'ici là. Je vous remercie pour votre patience et compréhension. ^MH,delivery_issue,escalate,service_complaint
"@115821 amazone did fraud with me.. i buy a product prepaid and amazone didn't give me the product or  refund 
Order #
403-4256956-6053949","@479219 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",payment_issue,escalate,refund_return
@AmazonHelp @137599 my copy of destiny 2 was cancelled because we used the same card to pay on each account and every person I’ve talked to in CS has told me to just buy it again at more than double the price it was when I purchased it,@223706 I'm sorry to hear about this! Was there a quantity limit for the item while it was on sale? ^JS,account_issue,escalate,payment_issue
@AmazonHelp Dji phantom drones weren't available on amazonin. Are they available now since you showed one in the video lol,@211501 You might want to check these out: https://t.co/LreYA638RU. ^SQ,product_issue,escalate,service_complaint
@AmazonHelp @115851  sorry to bother you but Amazon did mentally harass with me specially for this product.Pls do the needful. Pls escalate till high,@301084 I'm sorry for the stretch. Our team is currently working on your issue. We'll get back to you at the earliest. We've (1/2)^AU,delivery_issue,escalate,product_issue
"Wondering how my @115821 order says it was delivered, but I have no package??? https://t.co/A952wmydFE",@388691 Oh no! Have you tried these tricks for locating a package that shows as delivered: https://t.co/BoUlmcMBWz? Let us know! ^TG,delivery_not_received,auto_handle,delivery_issue
