customer_message,expected_intent,predicted_intent,expected_decision,predicted_decision,similarity,suggested_response,reason
@AmazonHelp It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼,delivery_issue,prime_membership,escalate,escalate,0.38890522417030776,"@119791 The guaranteed delivery date will be available based on various factors such as location, courier used, distance etc.(1/2) ^ZH",There is insufficient historical evidence for safe automatic handling of this Prime membership request.
@AmazonHelp A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago,service_complaint,service_complaint,escalate,escalate,0.33865434786661053,@147602 This feature is not available. Please help us improve by sending this feedback directly from the Alexa app by following these steps: https://t.co/LxsosjN1k5 ^BH,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@115821 your cust.service just implied that my missing items are my fault for living somewhere unsafe. Poor people dont deserve to get mail?,delivery_not_received,product_issue,escalate,escalate,0.25640810216030635,@797342 Oh no! I'm so sorry your Fresh order was missing items! We'd love to look into this for you! Have you had a chance to reach out to us via phone or chat? ^AR,"The product issue appears case-specific, unresolved, or potentially requires return, refund, or human intervention."
"@AmazonHelp Hablo para que me hagan los reembolsos, me llega el correo de que ya quedó y en unas horas diciéndome que no se pudo hacer efectivo pues necesitan más información, y se vuelve a repetir el ciclo.",refund_return,refund_return,escalate,escalate,0.06601492303667182,"@350315 Hola, puede ponerse en contacto con nuestro servicio de atención al cliente 1/2","Refund and return requests can involve order-specific actions, so they are escalated for safe handling."
"@AmazonHelp haven't got the cashback for the 1st Recharge via Amazon pay, it's being 15 days now, the recharge was meant for @120602",payment_issue,payment_issue,escalate,escalate,0.6412480999423306,@245999 We've responded to you here:https://t.co/2UuvxrMZgW kindly check. ^MN,Payment-related issues can involve financial information or account-specific transactions and therefore require human review.
@AmazonHelp 毎週お世話になってます🙏🙏,service_complaint,service_complaint,auto_handle,auto_handle,1.0,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,The complaint is sufficiently similar to historical support conversations and does not show a strong unresolved-support signal.
"@AmazonHelp No message, just a blank screen. Was working fine then just stopped. Is working on iPad just not tv",product_issue,service_complaint,escalate,escalate,0.4679425490524976,@424167 Oh no! I'm sorry to hear you're having trouble with your Kindle! We'd like to help the best we can. Have you tried to turn it off and back on to see if that may help? ^HC,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"Pre-orders are all well and good, @115830, but not when you immediately go out of stock of that item... and then won’t allow the order to be cancelled! https://t.co/lwpqSPVHGb",order_issue,product_issue,escalate,escalate,0.2477273616476932,"@467177 Hi, have you been advised that you'll be notified with news? ^TS","The product issue appears case-specific, unresolved, or potentially requires return, refund, or human intervention."
@AmazonHelp Please find all details of order no. 405-3693108-4127531.,order_issue,order_issue,escalate,escalate,0.5445633459188293,@279742 Please don’t provide your order details as we consider them to be personal information. Our page is visible to the public. 2/2^SC,The historical evidence is not sufficiently strong for safe automatic handling of this order issue.
"@AmazonHelp The advisor said it was a duplicated order and they'd resolve it, but it's still showing ... https://t.co/ilOLeYn8J7",order_issue,order_issue,escalate,escalate,0.28779617834880383,"@493981 Okay, let's get this looked at for you. Please contact us here instead: https://t.co/JzP7hlA23B ^RM",The historical evidence is not sufficiently strong for safe automatic handling of this order issue.
@117086 EU TE VENEROOOOOO MEUS LIVROS JÁ CHEGARAM SCRR,delivery_issue,service_complaint,auto_handle,escalate,0.6945106289252184,@438048 Que emoção amiga!! Conta para gente quais livros você comprou? ^AZ,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@115851 @115821 Amanda in your leadership team in your Oregon call center cost you a customer. Everything is canceled. Great Job Amazon!,service_complaint,service_complaint,escalate,escalate,0.3730113545598426,@199742 Please don’t provide your order details as it is personal information. Our Twitter page is visible to the public. ^MS,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@116618 can you please let us buffer the video? I let the web page open for an hour, hoping the little HD icon would light up, in vain. I don't wanna watch content in 360p under the pretense that my internet connection is too slow for 1080p stream without buffer.",service_complaint,service_complaint,escalate,escalate,0.25408692154477064,"@517120 Was a follow up call or email offered from the representative, once the problem has been fixed? ^QJ",The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
@117086 e @263285 faz um aplicativo fora da Playstore com suporte ao Android TV ou começa a vender o Firestick por aqui também.,product_issue,service_complaint,auto_handle,escalate,0.27947061475367097,@309722 I wasn't able to comprehend your concern. I would like you to elaborate so that we can help you accordingly. ^MK,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@AmazonHelp My mobile number listed is 9673101122, but u can reach me on 9818601122",account_issue,service_complaint,escalate,escalate,0.8326546669039079,"@121902 provide your account details, we consider it to be personal info. Our page is visible to the public. (3/3)^SF",The message involves an account or contact-detail issue that may require account-specific verification or human intervention.
@115821 one question. If i buy Amazon Fire HD Tablet with Special Offers I can in the future pay 10 more GBP to remove ads? #Amazon #FireHD,product_issue,payment_issue,auto_handle,escalate,0.18804631405379899,@190344 We'd love to help! Here's some information on our Amazon Store Card: https://t.co/OgIBLPvdtk  ^AG,Payment-related issues can involve financial information or account-specific transactions and therefore require human review.
@AmazonHelp I guess you asking me wasn't to actually help me. Maybe it was just to make the appearance of helping me?,service_complaint,service_complaint,escalate,escalate,0.3927956044115529,@482564 You're welcome. Do keep us posted for any further concerns. ^SG,The customer explicitly requests human assistance or case-specific intervention.
@AmazonHelp (ಠ_ಠ) Didnt realize your couriers needed reminders about basic fire safety.,delivery_issue,service_complaint,escalate,escalate,0.2605065609243354,@745398 Sorry to hear that. We have lots more in store for you. I wish you luck for those contests. Please stay tuned.  ^NK,The historical evidence is not sufficiently strong for safe automatic handling of the complaint.
"@115850 Need help, with the status on two refunds. Been a month already since I sent the shipment back. Thanks.",refund_return,refund_return,escalate,escalate,0.3654458019932583,@364675 Kindly contact us from the link given and we'll help you in getting this issue resolved. Appreciate your understanding. ^ZH,The customer explicitly requests human assistance or case-specific intervention.
"@ AmazonFR paid for 22 quantities of VR Headset received confirmation, but only 1 delivered",delivery_not_received,payment_issue,escalate,escalate,0.22007349873113785,"@313377 I'm sorry for the account issues, Kim. Have you received an e-mail from an Account Specialist regarding your account? ^CE",Payment-related issues can involve financial information or account-specific transactions and therefore require human review.
