customer_message,agent_response,intent
@115850 I didn't received my package but in app it showing package was delivered https://t.co/WUuva3geeo,@753794 Missing orders can be found by following the steps mentioned here: https://t.co/N3tczthlHg. (1/2),delivery_not_received
@AmazonHelp hi just got a notification saying my parcel was handed and delivered but I never received anything ?? Furthermore no one even knocked on my door ?,"@667120 I'm sorry you're unable to find your parcel. It's possible that this was a mis-scan. Also, here's some tips for locating a missing parcel: https://t.co/aaYGibDIkR ^AN",delivery_not_received
"Wondering how my @115821 order says it was delivered, but I have no package??? https://t.co/A952wmydFE",@388691 Oh no! Have you tried these tricks for locating a package that shows as delivered: https://t.co/BoUlmcMBWz? Let us know! ^TG,delivery_not_received
@AmazonHelp Still I did not receive any calls from Amazon,@200257 We've sent a correspondence via email. Please check it here: https://t.co/8DAc10S7ww and revert for further assistance. ^ST,delivery_not_received
I find it harder and harder to complain about a missing package on Amazon. I remember a time when there were a form and a button on the orders page. Now you have to contact support which is hell hard to do. I'm sure this is done on purpose but is it a fair practice @115821 ?,@226483 I'm sorry for the frustration! We're here to help. What's the current status of your order? Have we missed the estimated delivery date? You can check here: https://t.co/Y5jpI9gRhE ^TN,delivery_not_received
"Hey, @AmazonHelp, if my package says delivered but isn't in my mailbox like the notification says it is, should I contact you and give a report or contact USPS? I've looked all around and have asked my neighbors and nobody has it.",@736651 Sorry to hear this Henry. You can reach out to us directly here: https://t.co/hApLpMlfHN ^PK,delivery_not_received
@AmazonHelp I sent them an email almost a week ago via the Vine help page &amp; have not received any response. What next?,"@194382 Oh no! I'd like a team member look into this personally for you, Angela! Let us know more here: https://t.co/M5EeFGnl3r ^AD",delivery_not_received
I wrote to you and it's been 2 days. I've not received any updates yet. @115850 @AmazonHelp https://t.co/uhRyuDZvpy,"@207110 As you've shared your details, you might have received an email from Social Media Specialist. Please check and revert for info. ^HA",delivery_not_received
@AmazonHelp Since 3rd October I have lodge a complaint that I have not received the order which is showing as delivered.still not resolved.,@210098 Sorry for the stretch. We'd like to sort this out. Please fill this form: https://t.co/beaaDm0muc and we'll assist soon.^RS,delivery_not_received
@115850 tracking nos 184120347853 claims to be delivered but I have not signed nor received.,@190602 Sorry to know you've not received the package. We certainly did not expect this to happen. 1/3 ^PS,delivery_not_received
